SEQ_LEN,LGT_LEN,TREE_SIZE,METHOD,AUC,MCC,T_SRC,T_DEST,T_LGT
3000,100,10,Ctrl,0.6590909090909091,0.08574929257125442,0.010719364535018826,0.06025896538569364,0.035489164960356236
3000,100,10,A-max:eu:100,0.9772727272727273,0.6990252954195317,0.010719364535018826,0.06025896538569364,0.035489164960356236
3000,100,10,N-max:8:50,1.0,1.0,0.010719364535018826,0.06025896538569364,0.035489164960356236
3000,100,10,N-max:8:100,0.9772727272727273,0.6990252954195317,0.010719364535018826,0.06025896538569364,0.035489164960356236
3000,100,10,Ctrl,0.686046511627907,0.22051256837613437,0.19978491201020787,0.06496553300181745,0.13237522250601266
3000,100,10,A-max:eu:100,0.872093023255814,0.6990252954195317,0.19978491201020787,0.06496553300181745,0.13237522250601266
3000,100,10,N-max:8:50,0.7441860465116279,0.6990252954195317,0.19978491201020787,0.06496553300181745,0.13237522250601266
3000,100,10,N-max:8:100,0.6627906976744187,0.6990252954195317,0.19978491201020787,0.06496553300181745,0.13237522250601266
3000,100,10,Ctrl,0.5987654320987654,0.16174915980515764,0.6629645198617217,0.05020513254720008,0.35658482620446086
3000,100,10,A-max:eu:100,0.5277777777777778,0.2342606428329091,0.6629645198617217,0.05020513254720008,0.35658482620446086
3000,100,10,N-max:8:50,0.5154320987654322,0.19611613513818404,0.6629645198617217,0.05020513254720008,0.35658482620446086
3000,100,10,N-max:8:100,0.5493827160493827,0.2672612419124244,0.6629645198617217,0.05020513254720008,0.35658482620446086
3000,100,10,Ctrl,0.6031746031746033,0.16116459280507606,0.2258261924364161,0.0681364307851418,0.14698131161077896
3000,100,10,A-max:eu:100,0.9523809523809523,0.806946584785929,0.2258261924364161,0.0681364307851418,0.14698131161077896
3000,100,10,N-max:8:50,0.6865079365079365,0.3746537715077527,0.2258261924364161,0.0681364307851418,0.14698131161077896
3000,100,10,N-max:8:100,0.6587301587301587,0.2857142857142857,0.2258261924364161,0.0681364307851418,0.14698131161077896
3000,100,10,Ctrl,0.5227272727272727,0.6990252954195317,0.014626336744810042,0.00966191282791721,0.012144124786363626
3000,100,10,A-max:eu:100,0.9090909090909091,0.04708816093480111,0.014626336744810042,0.00966191282791721,0.012144124786363626
3000,100,10,N-max:8:50,0.8181818181818181,0.30151134457776363,0.014626336744810042,0.00966191282791721,0.012144124786363626
3000,100,10,N-max:8:100,0.7272727272727273,0.23652495839563303,0.014626336744810042,0.00966191282791721,0.012144124786363626
3000,100,10,Ctrl,0.6367521367521367,0.08459098688756271,0.3397640322190573,0.257142403995109,0.29845321810708314
3000,100,10,A-max:eu:100,1.0,1.0,0.3397640322190573,0.257142403995109,0.29845321810708314
3000,100,10,N-max:8:50,0.5598290598290598,0.3269230769230769,0.3397640322190573,0.257142403995109,0.29845321810708314
3000,100,10,N-max:8:100,0.6132478632478633,0.2773500981126146,0.3397640322190573,0.257142403995109,0.29845321810708314
